Division,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,Price,Calendar_Week_Date
Mumbai,19294,27347,682543,191097.9041,201701,10817,46264,97488,68.38448493,2019-07-13
Mumbai,18559,35294,565820,402715.0983,114461,9954,53217,80835,82.47252634,2019-07-20
Mumbai,26139,29638,552821,255143.8953,163260,8132,54642,67987,98.05796206,2019-07-27
Mumbai,46219,36834,262613,200978.371,63447,7561,82412,65743,101.4049658,2019-08-03
Mumbai,25766,39727,321418,245340.1626,87072,9432,64607,51781,128.7473526,2019-08-10
Mumbai,24463,35561,393929,267965.6616,119473,10070,60390,88469,75.35596273,2019-08-17
Mumbai,22863,23853,467201,266248.8887,84480,7991,47112,114522,58.212978,2019-08-24
Mumbai,20780,14495,342902,288880.3273,86358,8960,35503,89866,74.18452659,2019-08-31
Mumbai,24481,13773,539808,360323.0456,198612,6397,37396,99880,66.74676278,2019-09-07
Mumbai,24691,9958,341921,457786.0473,182345,7990,34895,108644,61.36249279,2019-09-14
Mumbai,25762,9740,340565,463792.6043,322838,7243,34733,85220,78.22889775,2019-09-21
Mumbai,35098,13969,579526,274265.2093,900830,8018,48855,76997,86.58345996,2019-09-28
Mumbai,7600,16816,608615,396416.9467,242145,6885,24765,163874,40.68166193,2019-10-05
Mumbai,9223,9742,547427,422359.4076,255787,6505,18260,136164,48.96056716,2019-10-12
Mumbai,14508,9127,501647,376703.3829,231850,7422,23393,144244,46.21798249,2019-10-19
Mumbai,11285,10191,928601,370228.0005,199638,6467,21006,135736,49.11494863,2019-10-26
Mumbai,11806,11485,962662,338882.8297,214581,6690,22609,118467,56.27446181,2019-11-02
Mumbai,11209,13837,2084147,544602.2248,354647,7103,24908,214919,31.01943833,2019-11-09
Mumbai,13201,20528,2237438,703270.8082,579792,6926,33367,217094,30.70866384,2019-11-16
Mumbai,8799,18109,1796295,380939.811,1140918,7574,25583,206061,32.35287933,2019-11-23
Mumbai,8908,15294,1911999,702137.3809,689345,6686,23127,388146,17.17566758,2019-11-30
Mumbai,9177,13014,915377,643742.405,694144,6474,21419,358799,18.58050515,2019-12-07
Mumbai,9113,13371,379714,384384.8284,632111,7236,21993,275981,24.1562523,2019-12-14
Mumbai,7847,12078,328445,389721.376,341376,4683,19184,186635,35.72034542,2019-12-21
Mumbai,7921,13014,535421,266666.3825,108958,6964,21152,130755,50.98594063,2019-12-28
Mumbai,26756,14773,286585,307895.8513,95349,5720,41895,129272,51.57084803,2020-01-04
Mumbai,9038,19361,294204,408192.603,130872,6109,28274,90981,73.27537251,2020-01-11
Mumbai,18550,17990,314118,387119.6323,149976,6948,35516,105848,62.98339758,2020-01-18
Mumbai,21626,16855,504923,320357.9338,114312,6684,37865,76253,87.42825419,2020-01-25
Mumbai,24140,21028,565733,997442.7847,39280,5686,45817,72475,91.98574221,2020-02-01
Mumbai,24187,22064,574706,365408.0809,161435,4944,45482,77613,85.89626308,2020-02-08
Mumbai,23008,25885,432938,288944.3322,292028,6133,47734,168172,39.64195387,2020-02-15
Mumbai,18726,25271,442591,415592.4279,286872,6760,43958,119598,55.74229223,2020-02-22
Mumbai,13873,22205,430426,300293.8358,148089,6864,35199,99357,67.0981075,2020-02-29
Banglore,167,782,708,2567847.521,667172,95360,579,519479,12.83337087,2018-01-06
Banglore,552,143,441,3715496.894,103319,82360,502,501041,13.30563101,2018-01-13
Banglore,659,144,687,3151602.114,570292,112565,273,510120,13.06882041,2018-01-20
Banglore,108,850,631,3066068.937,777349,71675,988,594620,11.21164217,2018-01-27
Banglore,644,949,730,2996176.308,397171,51602,776,477962,13.94811024,2018-02-03
Banglore,288,684,974,3187964.067,345807,70150,708,459629,14.50445178,2018-02-10
Banglore,302,463,598,4653501.774,1077632,58421,200,725682,9.186760408,2018-02-17
Banglore,156,939,7,4071753.83,416,51373,188,681781,9.778311022,2018-02-24
Banglore,101,48,134,3104301.29,60767,51214,206,592972,11.2428018,2018-03-03
Banglore,677,40,827,3462290.05,912150,60135,203,618537,10.77812106,2018-03-10
Banglore,59,332,813,3414405.561,129782,53325,20,570268,11.69040989,2018-03-17
Banglore,215,682,933,3112463.862,566913,90944,562,522359,12.76261473,2018-03-24
Banglore,312,115,238,3134953.055,224500,70291,448,514827,12.94933379,2018-03-31
Banglore,727,714,1125284,3074436.302,922486,65094,688,395204,16.86892508,2018-04-07
Banglore,138,555,1893757,3723371.309,501985,88040,466,543409,12.26823013,2018-04-14
Banglore,320,651,1913649,3023108.156,309955,112846,627,667811,9.982864413,2018-04-21
Banglore,384,819,2092279,3473209.751,411757,108438,940,582643,11.44211235,2018-04-28
Banglore,273,217,2322498,2930451.351,397061,79894,290,665200,10.02204851,2018-05-05
Banglore,453,105,3039917,2547976.661,278934,101932,760,614420,10.85034124,2018-05-12
Banglore,664,261,3124400,2779082.293,48043,90291,993,595965,11.18633924,2018-05-19
Banglore,669,375,2871184,3355128.751,168771,121571,485,634101,10.51357223,2018-05-26
Banglore,952,632,2272124,2452684.868,541299,101971,446,655722,10.16691016,2018-06-02
Banglore,511,454,2080113,2757171.635,796597,104888,166,635059,10.49771229,2018-06-09
Banglore,752,589,1950768,2482384.307,427505,110696,814,638660,10.43852232,2018-06-16
Banglore,314,51,2119232,2895756.467,368141,116721,171,509332,13.0890395,2018-06-23
Banglore,644,185,2375649,2727760.121,412954,113979,830,714253,9.33376082,2018-06-30
Banglore,13,538,3089843,2377337.976,613344,92296,392,461785,14.43673282,2018-07-07
Banglore,662,997,3601623,3399994.722,1467545,91588,145,611487,10.90238495,2018-07-14
Banglore,991,729,2806291,2582639.87,1085615,87240,857,880827,7.56864477,2018-07-21
Banglore,391,344,2876343,2696830.996,739123,88308,377,653011,10.20911848,2018-07-28
Banglore,348,697,2767911,2101893.609,862523,83442,211,585925,11.37802051,2018-08-04
Banglore,171,860,2778987,2620887.695,966378,79943,327,519537,12.83193818,2018-08-11
Banglore,170,5,3991326,3034153.607,1304004,93996,226,718408,9.279777879,2018-08-18
Banglore,204,935,4276996,3074457.026,2506290,101497,779,916325,7.275439027,2018-08-25
Banglore,909,599,4686508,2432406.279,2171599,87374,682,791985,8.417667843,2018-09-01
Banglore,806,172,4370346,2552038.559,2552403,79124,61,663538,10.04715128,2018-09-08
Banglore,563,87,5028786,2481211.244,1853270,77736,342,760047,8.771387383,2018-09-15
Banglore,574,47,4966793,2402492.218,2041733,61418,679,751648,8.869399861,2018-09-22
Banglore,821,925,5888798,2120251.182,2009939,83852,277,915777,7.279792642,2018-09-29
Banglore,744,6940,5198701,1947214.157,887037,67961,6809,937883,7.108207172,2018-10-06
Banglore,707,16626,4531293,1929277.571,1027901,59790,16236,980869,6.796694224,2018-10-13
Banglore,19,15255,5878924,1898493.114,1036541,57828,15801,1103975,6.038784091,2018-10-20
Banglore,747,15187,5445634,2008493.661,1112626,54581,15929,996762,6.688323458,2018-10-27
Banglore,110,15319,5228192,1969301.814,1701817,49709,15170,1089137,6.121054254,2018-11-03
Banglore,232,39333,8566232,4088594.141,1845957,55509,39916,1683384,3.960276839,2018-11-10
Banglore,189,36081,12556735,4014758.108,2570416,52308,36080,1859541,3.585114104,2018-11-17
Banglore,6313,21117,14455623,4085227.767,6232118,52273,26417,3322758,2.006365395,2018-11-24
Banglore,12544,13893,9718005,5049751.178,1194281,53050,25608,2363272,2.82094768,2018-12-01
Banglore,127934,14056,4759744,3123674.525,727994,45462,142147,1656624,4.024248512,2018-12-08
Banglore,118065,21987,4029480,2592870.806,1647626,39128,139731,1791713,3.72083401,2018-12-15
Banglore,69204,20527,3441797,2530840.027,558878,44839,89308,1146554,5.814524799,2018-12-22
Banglore,61107,18855,3516766,3566029.687,532831,51549,79858,654528,10.1854568,2018-12-29
Banglore,43376,20075,3407128,3560586.58,228115,62676,62875,669837,9.952670077,2019-01-05
Banglore,66173,19910,3164986,2668614.986,442640,69608,85897,500164,13.32896143,2019-01-12
Banglore,69637,15982,3337686,3350661.422,909786,79321,84157,714912,9.325157036,2019-01-19
Banglore,64284,18332,3339944,2727132.875,2549912,114238,82599,561777,11.86710504,2019-01-26
Banglore,41457,16391,3878669,2622442.494,2079398,96614,57835,618388,10.78071804,2019-02-02
Banglore,54647,17059,3098016,2634230.752,1254062,93306,71520,549592,12.13021053,2019-02-09
Banglore,88331,27367,2600816,3365961.631,1288726,79824,115213,878908,7.585170082,2019-02-16
Banglore,32298,18359,2683684,2210872.241,446618,82312,50252,672766,9.909339453,2019-02-23
Banglore,629,23406,3760463,3034566.263,215189,77825,23865,600229,11.10687199,2019-03-02
Banglore,953,22592,3761445,2831191.323,322268,80302,23070,517835,12.8741137,2019-03-09
Banglore,699,30759,3946335,2602775.971,525780,97805,30506,675957,9.862560291,2019-03-16
Banglore,446,49874,4546145,2600419.613,614584,93502,50355,621623,10.7246139,2019-03-23
Banglore,70,61783,3308896,3192972.089,883122,88948,62218,524146,12.71910244,2019-03-30
Banglore,25129,64628,3472944,2673952.087,456805,74042,89058,544685,12.2394901,2019-04-06
Banglore,28143,60968,4200745,2594312.707,712343,69865,88905,472331,14.11439577,2019-04-13
Banglore,45913,63300,4391027,2819125.584,1991810,72644,108750,579726,11.49968548,2019-04-20
Banglore,59888,48963,3916949,3273840.882,732271,83282,107644,630316,10.57670544,2019-04-27
Banglore,82731,52250,4795069,2333308.649,615779,62846,134936,658870,10.11833392,2019-05-04
Banglore,96026,69144,4227702,1916498.82,808888,66579,164282,652238,10.22121782,2019-05-11
Banglore,107689,78934,3694520,2262770.364,1227853,64049,185933,519188,12.84056385,2019-05-18
Banglore,116191,73173,4942040,2199082.936,1385713,70342,189553,697640,9.556026986,2019-05-25
Banglore,142286,89322,4595967,1923142.671,523291,67980,230859,631737,10.55291469,2019-06-01
Banglore,518190,118035,4258513,1787702.833,1080867,71643,635057,503836,13.23181882,2019-06-08
Banglore,320747,118357,3169725,1921345.414,1056987,71551,438477,718039,9.284546754,2019-06-15
Banglore,161523,113616,2320686,2312106.665,1047035,68232,274255,668985,9.965345511,2019-06-22
Banglore,177973,111749,3678401,2377687.198,673348,59277,289020,595480,11.19545017,2019-06-29
Banglore,162477,113411,4804403,2217961.815,562995,73561,275202,497756,13.39344311,2019-07-06
Banglore,149054,199223,5388471,1399749.074,1340892,102225,347736,797318,8.361364809,2019-07-13
Banglore,140159,245612,4510005,2950986.422,751226,101191,386044,694224,9.603048392,2019-07-20
Banglore,194255,195013,4617649,1868192.186,1080903,92308,388322,496000,13.44086022,2019-07-27
Banglore,321082,243245,2300864,1469535.377,448841,78338,563991,540922,12.32463584,2019-08-03
Banglore,192719,270453,2614655,1799257.827,718174,92610,462512,429047,15.53831321,2019-08-10
Banglore,186111,246839,3260361,1962767.456,889711,100329,432585,638861,10.43523813,2019-08-17
Banglore,180135,171390,3969561,1948370.504,636764,87438,350755,964944,6.908863796,2019-08-24
Banglore,159155,105639,2944326,2115320.099,589137,75413,264425,731039,9.119440504,2019-08-31
Banglore,179974,91773,4489656,2638564.028,1329886,68032,271933,824591,8.08481619,2019-09-07
Banglore,178914,68433,2780542,3356823.665,1183683,74325,246655,905326,7.363829898,2019-09-14
Banglore,183440,65832,2845529,3403239.241,2407679,74653,249012,625703,10.65468228,2019-09-21
Banglore,252545,97645,4773201,2012937.516,6830232,80691,349495,644279,10.34748404,2019-09-28
Banglore,51733,122769,5152227,2909944.867,1826614,72677,174680,1312317,5.080073387,2019-10-05
Banglore,57061,75270,4680448,3099795.347,1936770,64015,131807,1005284,6.631625159,2019-10-12
Banglore,93809,76819,4219286,2759347.793,1824157,77661,170942,1062528,6.274344456,2019-10-19
Banglore,75001,71609,7703308,2711861.688,1422217,73449,145588,1010111,6.599934727,2019-10-26
Banglore,79201,86948,7949518,2484592.359,1675863,69402,165729,855045,7.796860594,2019-11-02
Banglore,81735,108591,16420655,3996158.789,2693115,67371,190421,1612138,4.135295283,2019-11-09
Banglore,92116,156033,17150439,5160763.736,4287559,65316,248312,1897738,3.512954194,2019-11-16
Banglore,59201,136241,13994100,2795715.036,7558435,66344,195104,1712792,3.892280363,2019-11-23
Banglore,62934,100749,16001714,5153551.869,4599296,63817,162813,3561292,1.871979795,2019-11-30
Banglore,62374,92268,8074788,4723940.216,4405999,63435,153916,3575430,1.864577594,2019-12-07
Banglore,63230,101429,3454877,2821665.586,3994617,52322,164152,2424124,2.750134344,2019-12-14
Banglore,58124,87304,2981529,2856058.356,2001672,49302,144349,1711404,3.895437119,2019-12-21
Banglore,61786,100971,4548798,1952836.689,816579,69536,162755,1169089,5.702445808,2019-12-28
Banglore,195738,120869,2542278,2254584.979,696406,55778,315667,1076531,6.192730787,2020-01-04
Banglore,73445,147222,2574414,2994247.587,848370,69518,219527,742503,8.978639368,2020-01-11
Banglore,143677,130214,2818806,2836284.845,988647,62133,273662,846319,7.877250383,2020-01-18
Banglore,154641,131387,4304549,2346663.549,804768,66005,284837,618357,10.78125851,2020-01-25
Banglore,183982,153772,4880566,7317730.249,280897,56815,336930,596327,11.17954858,2020-02-01
Banglore,187562,164818,4924815,2679298.988,1066783,49963,351518,619802,10.75612319,2020-02-08
Banglore,183691,198041,3581869,2118857.141,1884146,59426,381029,1181536,5.642372866,2020-02-15
Banglore,147564,190041,3670032,3051189.135,1779732,70252,337803,968892,6.880711851,2020-02-22
Banglore,118075,173100,3534401,2198397.943,680796,59464,290587,715626,9.315853067,2020-02-29
Hyderabad,228,393,318,74238.21215,15186,4361,843,39282,169.7130153,2018-01-06
Hyderabad,904,543,762,107819.4923,2807,3334,37,54136,123.146643,2018-01-13
Hyderabad,636,901,404,92002.73704,8171,4318,254,59541,111.9676637,2018-01-20
Hyderabad,510,435,196,89058.81906,12224,3441,440,80242,83.08201025,2018-01-27
Hyderabad,91,622,138,87120.55939,7527,2801,964,76308,87.36523912,2018-02-03
Hyderabad,906,611,231,93089.23141,7340,3687,727,48171,138.3958537,2018-02-10
Hyderabad,500,992,354,134961.7923,19186,3966,195,72861,91.49842394,2018-02-17
Hyderabad,975,497,124,117760.6824,134,2603,136,80822,82.48579182,2018-02-24
Hyderabad,716,711,907,89992.95588,2558,3170,643,120957,55.11600541,2018-03-03
Hyderabad,19,48,672,100182.833,12646,2846,828,84285,79.09671551,2018-03-10
Hyderabad,379,218,744,98751.53603,1948,3794,456,55393,120.3521504,2018-03-17
Hyderabad,531,641,296,90189.03174,12949,3464,784,67983,98.06373162,2018-03-24
Hyderabad,447,879,530,90898.94663,5487,3572,677,133632,49.88825032,2018-03-31
Hyderabad,621,155,770,89348.93995,16788,3379,861,39520,168.6909582,2018-04-07
Hyderabad,993,376,430,108189.4378,9852,3280,30,39494,168.8020121,2018-04-14
Hyderabad,542,620,82,88344.52033,6638,3832,585,89292,74.6614105,2018-04-21
Hyderabad,873,262,255,100937.4584,4184,2537,990,75097,88.77407442,2018-04-28
Hyderabad,481,254,564,85149.76123,7493,2062,880,56136,118.7592038,2018-05-05
Hyderabad,325,957,740,74191.00917,6090,3060,358,83637,79.70953844,2018-05-12
Hyderabad,691,654,889,80801.62212,1192,3610,128,102751,64.8817692,2018-05-19
Hyderabad,200,671,36,97050.38821,3092,3509,883,68179,97.78181943,2018-05-26
Hyderabad,101,963,554,71587.12637,7819,3293,518,119482,55.79641006,2018-06-02
Hyderabad,975,744,196,79820.56113,12747,2286,339,111781,59.64042786,2018-06-09
Hyderabad,661,458,574,71899.69105,6624,3842,367,110249,60.46918037,2018-06-16
Hyderabad,270,845,184,84130.30457,5275,4290,673,63436,105.0927969,2018-06-23
Hyderabad,654,138,842,78935.42963,5977,4259,699,119573,55.75394668,2018-06-30
Hyderabad,920,241,583,69519.82691,4890,3255,414,48108,138.5770904,2018-07-07
Hyderabad,171,65,156,99008.92199,19996,4469,841,49500,134.6801347,2018-07-14
Hyderabad,237,90,818,75248.26778,16787,3554,412,66376,100.4379093,2018-07-21
Hyderabad,694,943,750,78731.84176,11920,3346,662,49643,134.2921795,2018-07-28
Hyderabad,304,452,542,60774.25676,12207,3260,353,44803,148.7995596,2018-08-04
Hyderabad,902,524,175,75768.8162,15196,2499,767,50488,132.0445782,2018-08-11
Hyderabad,336,428,635,88205.36303,24599,3048,975,42106,158.3305625,2018-08-18
Hyderabad,121,478,657,89008.2925,42002,2996,323,89428,74.54786719,2018-08-25
Hyderabad,369,515,813,70943.69145,32062,3575,488,47607,140.035429,2018-09-01
Hyderabad,791,811,373,74255.57246,38017,2837,265,41392,161.0617189,2018-09-08
Hyderabad,172,319,234,72378.2845,29787,1676,518,47841,139.3504874,2018-09-15
Hyderabad,159,592,516,69573.55609,31127,1797,416,66568,100.1482194,2018-09-22
Hyderabad,927,801,226,61505.32218,28429,1810,170,45527,146.4332521,2018-09-29
Hyderabad,618,378,511,56325.09614,14671,1469,426,75734,88.02739413,2018-10-06
Hyderabad,570,106,265,55803.78371,17635,2082,500,99394,67.07312983,2018-10-13
Hyderabad,254,342,286,55208.45833,15757,1986,405,146290,45.57158156,2018-10-20
Hyderabad,296,84,450,58656.95952,15579,1351,946,136990,48.6653527,2018-10-27
Hyderabad,25,1011,39,57435.46153,23392,1330,842,155669,42.82591053,2018-11-03
Hyderabad,19,295,925,119185.4036,36467,2071,960,131953,50.52303977,2018-11-10
Hyderabad,999,171,978,116691.9775,50268,1544,714,173164,38.49914917,2018-11-17
Hyderabad,454,424,799,118449.5544,98923,1331,91,326023,20.44845507,2018-11-24
Hyderabad,592,42,643,146330.3759,19800,1694,195,191931,34.73470501,2018-12-01
Hyderabad,1510,1365,133,90858.37377,10586,1718,2581,125515,53.11450159,2018-12-08
Hyderabad,1600,1127,231,75084.44426,17786,1515,1396,86141,77.39249215,2018-12-15
Hyderabad,1108,427,552,73797.95897,8293,1412,1147,84202,79.1746831,2018-12-22
Hyderabad,771,853,224,103358.5802,5565,1648,1385,33790,197.2970307,2018-12-29
Hyderabad,569,1007,855,103476.635,2602,1628,340,63002,105.8167466,2019-01-05
Hyderabad,665,665,275,77649.86595,5464,2621,1390,69389,96.07670764,2019-01-12
Hyderabad,729,993,437,97728.8244,12599,3005,773,47610,140.0266051,2019-01-19
Hyderabad,1284,499,238,79734.43444,42911,3149,866,167985,39.68608308,2019-01-26
Hyderabad,710,722,581,76229.44131,34359,3110,1543,41854,159.2838598,2019-02-02
Hyderabad,1121,949,231,76350.57604,16700,2351,1469,35106,189.9010615,2019-02-09
Hyderabad,574,568,216,97370.13957,18143,2303,1096,62659,106.3959953,2019-02-16
Hyderabad,454,522,872,64585.4492,7653,2388,1256,64558,103.2663135,2019-02-23
Hyderabad,297,811,263,88506.4449,4220,2427,1108,54858,121.5258789,2019-03-02
Hyderabad,421,642,66,82489.01285,5901,2880,191,41347,161.2370103,2019-03-09
Hyderabad,614,452,741,75870.86544,11126,4022,635,47707,139.7418967,2019-03-16
Hyderabad,866,714,923,75397.69528,16565,2750,1045,66589,100.1166359,2019-03-23
Hyderabad,478,830,187,93016.82035,19364,2890,779,59232,112.5517738,2019-03-30
Hyderabad,350,1657,696,77700.21059,8610,1637,1509,34730,191.9570016,2019-04-06
Hyderabad,920,560,28,75003.14544,15336,2450,1516,43451,153.4295337,2019-04-13
Hyderabad,1003,927,322,82304.70777,20712,1758,1029,55228,120.7117163,2019-04-20
Hyderabad,108,1007,22,95272.79027,19328,1542,882,74918,88.98618045,2019-04-27
Hyderabad,886,785,522,67524.86445,12746,1465,1722,33758,197.4840532,2019-05-04
Hyderabad,728,1206,228,55964.30824,16639,1285,1721,55523,120.0703612,2019-05-11
Hyderabad,1365,1234,245,65494.53824,25477,1678,1714,41548,160.4569815,2019-05-18
Hyderabad,905,1122,615,64211.61756,29389,1912,1822,49619,134.3571347,2019-05-25
Hyderabad,604,1668,979,56351.78843,10077,1591,1980,75292,88.54415697,2019-06-01
Hyderabad,5302,1907,363,52290.50056,20885,1872,6405,48892,136.3549592,2019-06-08
Hyderabad,3722,2398,404,56493.01405,23830,2403,4762,54492,122.3421175,2019-06-15
Hyderabad,1910,1668,795,67571.66647,21123,1729,3180,83883,79.47577777,2019-06-22
Hyderabad,1776,1729,262,69255.7806,13177,1689,2851,57799,115.3422493,2019-06-29
Hyderabad,1624,2034,856,64861.95203,12340,1668,2601,41214,161.7573317,2019-07-06
Hyderabad,1501,2182,178,40894.44732,30255,2555,3976,79453,83.90704777,2019-07-13
Hyderabad,1342,3604,242,85371.39714,16224,2459,3924,66337,100.4969575,2019-07-20
Hyderabad,1370,3094,534,54682.40674,21790,1492,4916,36365,183.3264586,2019-07-27
Hyderabad,3892,3398,263,42547.90503,9916,1723,7497,44757,148.9524916,2019-08-03
Hyderabad,1568,4680,468,52430.51882,12586,1786,5986,33523,198.8684386,2019-08-10
